nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
0,Uhookabove.sts,,0,0,0
0,uhookabove.sts,,0,0,0
0,Uhornacute.sts,,0,0,0
0,uhornacute.sts,,0,0,10
0,Uhorndotbelow.sts,,0,0,0
0,uhorndotbelow.sts,,0,0,10
0,Uhorngrave.sts,,0,0,0
0,uhorngrave.sts,,0,0,10
0,Uhornhookabove.sts,,0,0,0
0,uhornhookabove.sts,,0,0,10
0,Uhorntilde.sts,,0,0,0
0,uhorntilde.sts,,0,0,10
0,Uhungarumlaut.sts,,0,0,0
0,uhungarumlaut.sts,,0,0,0
0,Umacron.sts,,0,0,0
0,umacron.sts,,0,0,0
0,Uring.sts,,0,0,0
0,uring.sts,,0,0,0
0,Utilde.sts,,0,0,0
0,utilde.sts,,0,0,0
0,Yacute.sts,,0,0,0
0,yacute.sts,,0,0,0
0,Ydieresis.sts,,0,0,0
0,ydieresis.sts,,0,0,0
0,Ydotbelow.sts,,0,0,0
0,ydotbelow.sts,,0,0,0
0,Ygrave.sts,,0,0,0
0,ygrave.sts,,0,0,0
0,Yhookabove.sts,,0,0,0
0,yhookabove.sts,,0,0,0
0,Ytilde.sts,,0,0,0
0,ytilde.sts,,0,0,0
0,Zacute.sts,,0,0,0
0,zacute.sts,,0,0,0
0,Zcaron.sts,,0,0,0
0,zcaron.sts,,0,0,0
0,Zdotaccent.sts,,0,0,0
0,zdotaccent.sts,,0,0,0
0,quotedblleft.sts,,0,0,0
0,quotedblbase.sts,,0,0,0
0,quotedblright.sts,,0,0,0
0,Dcroat.sts,,0,0,0
0,A.st,,0,421,0
0,a.st,,0,244,3
0,acute.st,,0,319,0
0,AE.st,,0,0,0
0,ae.st,,0,0,0
0,ampersand.st,,0,0,0
0,Aogonek.st,,0,0,0
0,aogonek.st,,0,0,7
0,asciicircum.st,,0,0,33
0,asciitilde.st,,0,0,27
0,at.st,,0,0,0
0,B.st,,0,296,0
0,b.st,,0,124,0
0,blanksymbol.st,,0,0,0
0,star.alt.st,,0,0,0
0,breve.st,,0,285,0
0,brokenbar.st,,0,0,0
0,C.st,,0,567,0
0,c.st,,0,295,0
0,caron.st,,0,285,0
0,Ccedilla.st,,0,0,0
0,ccedilla.st,,0,0,0
0,cedilla.st,,0,0,0
0,cent.st,,0,0,0
0,circumflex.st,,0,285,0
0,colon.st,,0,0,0
0,colonmonetary.st,,0,0,0
0,space_uni0326.st,,0,278,0
0,copyleft.st,,0,0,28
0,copyright.st,,0,0,28
0,currency.st,,0,0,0
0,D.st,,0,282,0
0,d.st,,0,431,0
0,space_uni030F.st,,0,260,0
0,degree.st,,0,0,0
0,died.st,,0,0,0
0,dieresis.st,,0,285,0
0,discount.st,,0,0,0
0,divorced.st,,0,0,230
0,dollar.st,,0,0,0
0,dotaccent.st,,0,162,0
0,space_uni0323.st,,0,162,0
0,dotlessi.st,,0,162,0
0,dotlessj.st,,0,177,0
0,E.st,,0,362,0
0,e.st,,0,272,0
0,eight.st,,0,296,0
0,emdash.st,,0,0,11
0,endash.st,,0,0,19
0,Eng.st,,0,0,0
0,eng.st,,0,0,0
0,Eogonek.st,,0,0,0
0,eogonek.st,,0,0,0
0,estimated.st,,0,0,0
0,Eth.st,,0,0,0
0,eth.st,,0,0,0
0,exclam.st,,0,0,0
0,exclamdown.st,,0,0,0
0,F.st,,0,354,0
0,f.st,,0,293,72
0,f_k.st,,0,0,0
0,f_f.st,,0,0,65
0,f_f_i.st,,0,0,0
0,f_f_l.st,,0,0,0
0,f_i.st,,0,0,0
0,five.st,,0,291,0
0,f_l.st,,0,0,0
0,four.st,,0,394,0
0,G.st,,0,568,0
0,g.st,,0,374,4
0,S_S.st,,0,0,0
0,germandbls.st,,0,0,0
0,uni2E18.st,,0,0,0
0,grave.st,,0,250,0
0,H.st,,0,421,0
0,h.st,,0,129,0
0,space_uni0309.st,,0,290,0
0,hungarumlaut.st,,0,310,0
0,hyphen.st,,0,0,0
0,I.st,,0,207,0
0,I_J.st,,0,0,0
0,i_j.st,,0,0,0
0,uni203D.st,,0,0,0
0,Iogonek.st,,0,0,0
0,iogonek.st,,0,0,0
0,J.st,,0,363,0
0,K.st,,0,430,0
0,k.st,,0,124,0
0,L.st,,0,220,0
0,l.st,,0,131,0
0,leaf.st,,0,0,34
0,longs.st,,0,0,72
0,Lslash.st,,0,0,0
0,lslash.st,,0,0,0
0,M.st,,0,514,0
0,m.st,,0,403,0
0,macron.st,,0,285,0
0,married.st,,0,0,107
0,uni00B5.st,,0,0,0
0,musicalnote.st,,0,0,0
0,N.st,,0,421,0
0,n.st,,0,249,0
0,nine.st,,0,286,0
0,numbersign.st,,0,0,0
0,O.st,,0,438,0
0,o.st,,0,284,0
0,OE.st,,0,0,0
0,oe.st,,0,0,0
0,ogonek.st,,0,0,0
0,Ohorn.st,,0,0,0
0,ohorn.st,,0,0,7
0,one.st,,0,295,0
0,ordfeminine.st,,0,0,0
0,ordmasculine.st,,0,0,0
0,Oslash.st,,0,0,0
0,oslash.st,,0,0,0
0,P.st,,0,290,0
0,p.st,,0,238,0
0,percent.st,,0,0,0
0,permyriad.st,,0,0,0
0,perthousand.st,,0,0,0
0,perthousandzero.st,,0,0,0
0,proportional.st,,0,0,0
0,published.st,,0,0,28
0,Q.st,,0,438,0
0,q.st,,0,360,9
0,question.st,,0,0,0
0,questiondown.st,,0,0,0
0,quotedbl.st,,0,0,0
0,quoteleft.st,,0,0,0
0,quoteright.st,,0,0,0
0,quotesinglbase.st,,0,0,0
0,quotesingle.st,,0,0,0
0,R.st,,0,271,16
0,r.st,,0,213,0
0,recipe.st,,0,0,16
0,referencemark.st,,0,0,0
0,registered.st,,0,0,28
0,ring.st,,0,421,0
0,S.st,,0,372,0
0,s.st,,0,264,0
0,Scedilla.st,,0,0,0
0,scedilla.st,,0,0,0
0,semicolon.st,,0,0,0
0,servicemark.st,,0,0,0
0,seven.st,,0,123,4
0,six.st,,0,360,0
0,sterling.st,,0,0,0
0,T.st,,0,407,0
0,t.st,,0,184,0
0,Thorn.st,,0,0,0
0,thorn.st,,0,0,0
0,three.st,,0,282,0
0,threequartersemdash.st,,0,0,16
0,tilde.st,,0,285,0
0,asciitilde.low.st,,0,0,27
0,trademark.st,,0,0,0
0,emdash.alt.st,,0,0,11
0,two.st,,0,273,0
0,U.st,,0,421,0
0,u.st,,0,285,0
0,Uhorn.st,,0,0,0
0,uhorn.st,,0,0,37
0,underscore.st,,0,0,28
0,Uogonek.st,,0,0,0
0,uogonek.st,,0,0,7
0,V.st,,0,421,0
0,v.st,,0,300,0
0,W.st,,0,575,0
0,w.st,,0,407,0
0,X.st,,0,406,0
0,x.st,,0,293,0
0,Y.st,,0,421,3
0,y.st,,0,300,0
0,yen.st,,0,0,3
0,Z.st,,0,359,0
0,z.st,,0,258,0
0,zero.st,,0,286,0
0,Euro.st,,0,0,0
0,guillemotleft.st,,0,0,0
0,guillemotright.st,,0,0,0
0,guilsinglleft.st,,0,0,0
0,guilsinglright.st,,0,0,0
0,uni2423.st,,0,0,0
0,i.st,,0,162,0
0,j.st,,0,186,0
0,space_uni0331.st,,0,285,0
0,Aacute.st,,0,0,0
0,aacute.st,,0,0,3
0,Abreve.st,,0,0,0
0,abreve.st,,0,0,3
0,Abreveacute.st,,0,0,0
0,abreveacute.st,,0,0,3
0,Abrevedotbelow.st,,0,0,0
0,abrevedotbelow.st,,0,0,3
0,Abrevegrave.st,,0,0,0
0,abrevegrave.st,,0,0,3
0,Abrevehookabove.st,,0,0,0
0,abrevehookabove.st,,0,0,3
0,Abrevetilde.st,,0,0,0
0,abrevetilde.st,,0,0,3
0,Acircumflex.st,,0,0,0
0,acircumflex.st,,0,0,3
0,Acircumflexacute.st,,0,0,0
0,acircumflexacute.st,,0,0,3
0,Acircumflexdotbelow.st,,0,0,0
0,acircumflexdotbelow.st,,0,0,3
0,Acircumflexgrave.st,,0,0,0
0,acircumflexgrave.st,,0,0,3
0,Acircumflexhookabove.st,,0,0,0
0,acircumflexhookabove.st,,0,0,3
0,Acircumflextilde.st,,0,0,0
0,acircumflextilde.st,,0,0,3
0,Adieresis.st,,0,0,0
0,adieresis.st,,0,0,3
0,Adotbelow.st,,0,0,0
0,adotbelow.st,,0,0,3
0,Agrave.st,,0,0,0
0,agrave.st,,0,0,3
0,Ahookabove.st,,0,0,0
0,ahookabove.st,,0,0,3
0,Amacron.st,,0,0,0
0,amacron.st,,0,0,3
0,Aring.st,,0,0,0
0,aring.st,,0,0,3
0,Atilde.st,,0,0,0
0,atilde.st,,0,0,3
0,Cacute.st,,0,0,0
0,cacute.st,,0,0,0
0,Ccaron.st,,0,0,0
0,ccaron.st,,0,0,0
0,Dcaron.st,,0,0,0
0,dcaron.st,,0,0,39
0,Eacute.st,,0,0,0
0,eacute.st,,0,0,0
0,Ecaron.st,,0,0,0
0,ecaron.st,,0,0,0
0,Ecircumflex.st,,0,0,0
0,ecircumflex.st,,0,0,0
0,Ecircumflexacute.st,,0,0,0
0,ecircumflexacute.st,,0,0,0
0,Ecircumflexdotbelow.st,,0,0,0
0,ecircumflexdotbelow.st,,0,0,0
0,Ecircumflexgrave.st,,0,0,0
0,ecircumflexgrave.st,,0,0,0
0,Ecircumflexhookabove.st,,0,0,0
0,ecircumflexhookabove.st,,0,0,0
0,Ecircumflextilde.st,,0,0,0
0,ecircumflextilde.st,,0,0,0
0,Edieresis.st,,0,0,0
0,edieresis.st,,0,0,0
0,Edotaccent.st,,0,0,0
0,edotaccent.st,,0,0,0
0,Edotbelow.st,,0,0,0
0,edotbelow.st,,0,0,0
0,Egrave.st,,0,0,0
0,egrave.st,,0,0,0
0,Ehookabove.st,,0,0,0
0,ehookabove.st,,0,0,0
0,Emacron.st,,0,0,0
0,emacron.st,,0,0,0
0,Etilde.st,,0,0,0
0,etilde.st,,0,0,0
0,Gbreve.st,,0,0,0
0,gbreve.st,,0,0,4
0,Gcommaaccent.st,,0,0,0
0,gcommaaccent.st,,0,0,4
0,Iacute.st,,0,0,0
0,iacute.st,,0,0,4
0,Icircumflex.st,,0,0,0
0,icircumflex.st,,0,0,19
0,Idieresis.st,,0,0,0
0,idieresis.st,,0,0,13
0,Idotaccent.st,,0,0,0
0,Idotbelow.st,,0,0,0
0,idotbelow.st,,0,0,0
0,Igrave.st,,0,0,0
0,igrave.st,,0,0,0
0,Ihookabove.st,,0,0,0
0,ihookabove.st,,0,0,0
0,Imacron.st,,0,0,21
0,imacron.st,,0,0,66
0,Itilde.st,,0,0,6
0,itilde.st,,0,0,51
0,Kcommaaccent.st,,0,0,0
0,kcommaaccent.st,,0,0,0
0,Lacute.st,,0,0,0
0,lacute.st,,0,0,17
0,Lcaron.st,,0,0,0
0,lcaron.st,,0,0,47
0,Lcommaaccent.st,,0,0,0
0,lcommaaccent.st,,0,0,0
0,Nacute.st,,0,0,0
0,nacute.st,,0,0,0
0,Ncaron.st,,0,0,0
0,ncaron.st,,0,0,0
0,Ncommaaccent.st,,0,0,0
0,ncommaaccent.st,,0,0,0
0,Ntilde.st,,0,0,0
0,ntilde.st,,0,0,0
0,Oacute.st,,0,0,0
0,oacute.st,,0,0,0
0,Ocircumflex.st,,0,0,0
0,ocircumflex.st,,0,0,0
0,Ocircumflexacute.st,,0,0,0
0,ocircumflexacute.st,,0,0,0
0,Ocircumflexdotbelow.st,,0,0,0
0,ocircumflexdotbelow.st,,0,0,0
0,Ocircumflexgrave.st,,0,0,0
0,ocircumflexgrave.st,,0,0,0
0,Ocircumflexhookabove.st,,0,0,0
0,ocircumflexhookabove.st,,0,0,0
0,Ocircumflextilde.st,,0,0,0
0,ocircumflextilde.st,,0,0,0
0,Odieresis.st,,0,0,0
0,odieresis.st,,0,0,0
0,Odotbelow.st,,0,0,0
0,odotbelow.st,,0,0,0
0,Ograve.st,,0,0,0
0,ograve.st,,0,0,0
0,Ohookabove.st,,0,0,0
0,ohookabove.st,,0,0,0
0,Ohornacute.st,,0,0,0
0,ohornacute.st,,0,0,7
0,Ohorndotbelow.st,,0,0,0
0,ohorndotbelow.st,,0,0,7
0,Ohorngrave.st,,0,0,0
0,ohorngrave.st,,0,0,7
0,Ohornhookabove.st,,0,0,0
0,ohornhookabove.st,,0,0,7
0,Ohorntilde.st,,0,0,0
0,ohorntilde.st,,0,0,7
0,Ohungarumlaut.st,,0,0,0
0,ohungarumlaut.st,,0,0,0
0,Omacron.st,,0,0,0
0,omacron.st,,0,0,0
0,Otilde.st,,0,0,0
0,otilde.st,,0,0,0
0,Racute.st,,0,0,16
0,racute.st,,0,0,0
0,Rcaron.st,,0,0,16
0,rcaron.st,,0,0,0
0,Rcommaaccent.st,,0,0,16
0,rcommaaccent.st,,0,0,0
0,Sacute.st,,0,0,0
0,sacute.st,,0,0,0
0,Scaron.st,,0,0,0
0,scaron.st,,0,0,0
0,uni0218.st,,0,0,0
0,uni0219.st,,0,0,0
0,Tcaron.st,,0,0,0
0,tcaron.st,,0,0,0
0,uni021A.st,,0,0,0
0,uni021B.st,,0,0,0
0,Tcedilla.st,,0,0,0
0,tcedilla.st,,0,0,0
0,Uacute.st,,0,0,0
0,uacute.st,,0,0,0
0,Ucircumflex.st,,0,0,0
0,ucircumflex.st,,0,0,0
0,Udieresis.st,,0,0,0
0,udieresis.st,,0,0,0
0,Udotbelow.st,,0,0,0
0,udotbelow.st,,0,0,0
0,Ugrave.st,,0,0,0
0,ugrave.st,,0,0,0
0,Uhookabove.st,,0,0,0
0,uhookabove.st,,0,0,0
0,Uhornacute.st,,0,0,0
0,uhornacute.st,,0,0,37
0,Uhorndotbelow.st,,0,0,0
0,uhorndotbelow.st,,0,0,37
0,Uhorngrave.st,,0,0,0
0,uhorngrave.st,,0,0,37
0,Uhornhookabove.st,,0,0,0
0,uhornhookabove.st,,0,0,37
0,Uhorntilde.st,,0,0,0
0,uhorntilde.st,,0,0,37
0,Uhungarumlaut.st,,0,0,0
0,uhungarumlaut.st,,0,0,0
0,Umacron.st,,0,0,0
0,umacron.st,,0,0,0
0,Uring.st,,0,0,0
0,uring.st,,0,0,0
0,Utilde.st,,0,0,0
0,utilde.st,,0,0,0
0,Yacute.st,,0,0,3
0,yacute.st,,0,0,0
0,Ydieresis.st,,0,0,3
0,ydieresis.st,,0,0,0
0,Ydotbelow.st,,0,0,3
0,ydotbelow.st,,0,0,0
0,Ygrave.st,,0,0,3
0,ygrave.st,,0,0,0
0,Yhookabove.st,,0,0,3
0,yhookabove.st,,0,0,0
0,Ytilde.st,,0,0,3
0,ytilde.st,,0,0,0
0,Zacute.st,,0,0,0
0,zacute.st,,0,0,0
0,Zcaron.st,,0,0,0
0,zcaron.st,,0,0,0
0,Zdotaccent.st,,0,0,0
0,zdotaccent.st,,0,0,0
0,quotedblleft.st,,0,0,0
0,quotedblbase.st,,0,0,0
0,quotedblright.st,,0,0,0
0,Dcroat.st,,0,0,0
x2113,,ell,0,0,9
0,period.sts,,0,0,0
0,comma.sts,,0,0,0
0,uni2113.sts,,0,0,0
0,period.st,,0,0,0
0,comma.st,,0,0,0
0,uni2113.st,,0,0,0
x1D434,,mathit{A},0,550,0
x1D435,,mathit{B},0,420,25
x1D436,,mathit{C},0,596,73
x1D437,,mathit{D},0,427,4
x1D438,,mathit{E},0,483,54
x1D439,,mathit{F},0,475,134
x1D43A,,mathit{G},0,596,0
x1D43B,,mathit{H},0,542,78
x1D43C,,mathit{I},0,347,85
x1D43D,,mathit{J},0,487,106
x1D43E,,mathit{K},0,545,68
x1D43F,,mathit{L},0,360,0
x1D440,,mathit{M},0,625,102
x1D441,,mathit{N},0,542,106
x1D442,,mathit{O},0,495,5
x1D443,,mathit{P},0,416,140
x1D444,,mathit{Q},0,495,0
x1D445,,mathit{R},0,398,24
x1D446,,mathit{S},0,498,60
x1D447,,mathit{T},0,398,148
x1D448,,mathit{U},0,421,105
x1D449,,mathit{V},0,413,214
x1D44A,,mathit{W},0,552,132
x1D44B,,mathit{X},0,528,51
x1D44C,,mathit{Y},0,399,209
x1D44D,,mathit{Z},0,485,68
x1D44E,,mathit{a},0,287,0
x1D44F,,mathit{b},0,165,14
x1D450,,mathit{c},0,317,25
x1D451,,mathit{d},0,442,24
x1D452,,mathit{e},0,300,0
x1D453,,mathit{f},0,464,90
x1D454,,mathit{g},0,316,25
x210E,,Planckconst,0,213,0
x1D456,,mathit{i},0,247,0
x1D457,,mathit{j},0,359,13
x1D458,,mathit{k},0,213,15
x1D459,,mathit{l},0,184,0
x1D45A,,mathit{m},0,404,0
x1D45B,,mathit{n},0,265,0
x1D45C,,mathit{o},0,315,12
x1D45D,,mathit{p},0,246,15
x1D45E,,mathit{q},0,349,34
x1D45F,,mathit{r},0,247,13
x1D460,,mathit{s},0,296,0
x1D461,,mathit{t},0,225,0
x1D462,,mathit{u},0,305,0
x1D463,,mathit{v},0,294,11
x1D464,,mathit{w},0,405,3
x1D465,,mathit{x},0,329,0
x1D466,,mathit{y},0,304,28
x1D467,,mathit{z},0,336,30
x1D6A4,,imath,0,168,0
x1D6A5,,jmath,0,275,5
0,u1D434.sts,,0,693,0
0,u1D435.sts,,0,543,0
0,u1D436.sts,,0,768,7
0,u1D437.sts,,0,551,0
0,u1D438.sts,,0,621,0
0,u1D439.sts,,0,612,107
0,u1D43A.sts,,0,767,0
0,u1D43B.sts,,0,684,7
0,u1D43C.sts,,0,441,11
0,u1D43D.sts,,0,627,46
0,u1D43E.sts,,0,695,0
0,u1D43F.sts,,0,455,0
0,u1D440.sts,,0,788,35
0,u1D441.sts,,0,684,41
0,u1D442.sts,,0,648,0
0,u1D443.sts,,0,535,110
0,u1D444.sts,,0,648,0
0,u1D445.sts,,0,515,0
0,u1D446.sts,,0,635,0
0,u1D447.sts,,0,544,123
0,u1D448.sts,,0,552,41
0,u1D449.sts,,0,565,200
0,u1D44A.sts,,0,739,98
0,u1D44B.sts,,0,667,0
0,u1D44C.sts,,0,548,193
0,u1D44D.sts,,0,620,0
0,u1D44E.sts,,0,397,0
0,u1D44F.sts,,0,230,0
0,u1D450.sts,,0,437,0
0,u1D451.sts,,0,577,0
0,u1D452.sts,,0,415,0
0,u1D453.sts,,0,576,36
0,u1D454.sts,,0,419,0
0,uni210E.sts,,0,283,0
0,u1D456.sts,,0,351,0
0,u1D457.sts,,0,464,0
0,u1D458.sts,,0,283,0
0,u1D459.sts,,0,248,0
0,u1D45A.sts,,0,572,0
0,u1D45B.sts,,0,398,0
0,u1D45C.sts,,0,433,0
0,u1D45D.sts,,0,362,0
0,u1D45E.sts,,0,474,0
0,u1D45F.sts,,0,382,9
0,u1D460.sts,,0,404,0
0,u1D461.sts,,0,324,0
0,u1D462.sts,,0,421,0
0,u1D463.sts,,0,404,0
0,u1D464.sts,,0,542,0
0,u1D465.sts,,0,431,0
0,u1D466.sts,,0,420,0
0,u1D467.sts,,0,449,0
0,u1D6A4.sts,,0,249,0
0,u1D6A5.sts,,0,346,0
0,u1D434.st,,0,604,0
0,u1D435.st,,0,468,0
0,u1D436.st,,0,661,52
0,u1D437.st,,0,477,0
0,u1D438.st,,0,536,30
0,u1D439.st,,0,528,128
0,u1D43A.st,,0,661,0
0,u1D43B.st,,0,596,52
0,u1D43C.st,,0,382,58
0,u1D43D.st,,0,539,85
0,u1D43E.st,,0,606,47
0,u1D43F.st,,0,395,0
0,u1D440.st,,0,688,79
0,u1D441.st,,0,596,83
0,u1D442.st,,0,552,0
0,u1D443.st,,0,462,135
0,u1D444.st,,0,552,0
0,u1D445.st,,0,444,16
0,u1D446.st,,0,547,36
0,u1D447.st,,0,452,143
0,u1D448.st,,0,469,83
0,u1D449.st,,0,471,214
0,u1D44A.st,,0,625,125
0,u1D44B.st,,0,580,24
0,u1D44C.st,,0,456,209
0,u1D44D.st,,0,534,47
0,u1D44E.st,,0,325,0
0,u1D44F.st,,0,189,0
0,u1D450.st,,0,364,12
0,u1D451.st,,0,496,8
0,u1D452.st,,0,340,0
0,u1D453.st,,0,506,75
0,u1D454.st,,0,361,7
0,uni210E.st,,0,238,0
0,u1D456.st,,0,284,0
0,u1D457.st,,0,398,0
0,u1D458.st,,0,238,0
0,u1D459.st,,0,207,0
0,u1D45A.st,,0,465,0
0,u1D45B.st,,0,313,0
0,u1D45C.st,,0,356,0
0,u1D45D.st,,0,296,0
0,u1D45E.st,,0,396,15
0,u1D45F.st,,0,290,10
0,u1D460.st,,0,334,0
0,u1D461.st,,0,260,0
0,u1D462.st,,0,340,0
0,u1D463.st,,0,337,0
0,u1D464.st,,0,461,0
0,u1D465.st,,0,359,0
0,u1D466.st,,0,340,9
0,u1D467.st,,0,376,3
0,u1D6A4.st,,0,188,0
0,u1D6A5.st,,0,289,0
x1D400,,mathbf{A},0,434,0
x1D41A,,mathbf{a},0,231,22
x1D401,,mathbf{B},0,300,0
x1D41B,,mathbf{b},0,126,0
x1D402,,mathbf{C},0,580,0
x1D41C,,mathbf{c},0,298,0
x1D403,,mathbf{D},0,283,0
x1D41D,,mathbf{d},0,444,0
0,dotlessi.mrmb,,0,160,0
0,dotlessj.mrmb,,0,176,0
x1D404,,mathbf{E},0,350,0
x1D41E,,mathbf{e},0,281,0
x1D7D6,,mathbf{8},0,299,0
x1D405,,mathbf{F},0,342,0
x1D41F,,mathbf{f},0,309,114
x1D7D3,,mathbf{5},0,290,0
x1D7D2,,mathbf{4},0,414,0
x1D406,,mathbf{G},0,579,0
x1D420,,mathbf{g},0,358,11
x1D407,,mathbf{H},0,450,0
x1D421,,mathbf{h},0,134,4
x1D408,,mathbf{I},0,218,0
x1D409,,mathbf{J},0,348,0
x1D40A,,mathbf{K},0,438,0
x1D424,,mathbf{k},0,126,8
x1D40B,,mathbf{L},0,232,0
x1D425,,mathbf{l},0,136,0
x1D40C,,mathbf{M},0,546,0
x1D426,,mathbf{m},0,418,5
x1D40D,,mathbf{N},0,450,0
x1D427,,mathbf{n},0,257,4
x1D7D7,,mathbf{9},0,281,0
x1D40E,,mathbf{O},0,431,0
x1D428,,mathbf{o},0,287,0
x1D7CF,,mathbf{1},0,295,0
x1D40F,,mathbf{P},0,293,0
x1D429,,mathbf{p},0,241,0
x1D410,,mathbf{Q},0,431,0
x1D42A,,mathbf{q},0,369,22
x1D411,,mathbf{R},0,281,23
x1D42B,,mathbf{r},0,216,0
x1D412,,mathbf{S},0,374,0
x1D42C,,mathbf{s},0,265,0
x1D7D5,,mathbf{7},0,124,11
x1D7D4,,mathbf{6},0,335,0
x1D413,,mathbf{T},0,400,0
x1D42D,,mathbf{t},0,194,0
x1D7D1,,mathbf{3},0,282,0
x1D7D0,,mathbf{2},0,277,0
x1D414,,mathbf{U},0,442,0
x1D42E,,mathbf{u},0,296,4
x1D415,,mathbf{V},0,434,0
x1D42F,,mathbf{v},0,303,0
x1D416,,mathbf{W},0,594,3
x1D430,,mathbf{w},0,415,0
x1D417,,mathbf{X},0,418,0
x1D431,,mathbf{x},0,296,6
x1D418,,mathbf{Y},0,434,8
x1D432,,mathbf{y},0,303,0
x1D419,,mathbf{Z},0,364,0
x1D433,,mathbf{z},0,259,0
x1D7CE,,mathbf{0},0,287,0
x1D422,,mathbf{i},0,160,0
x1D423,,mathbf{j},0,189,0
0,u1D400.sts,,0,557,0
0,u1D41A.sts,,0,312,6
0,u1D401.sts,,0,408,0
0,u1D41B.sts,,0,183,0
0,u1D402.sts,,0,738,0
0,u1D41C.sts,,0,417,0
0,u1D403.sts,,0,389,0
0,u1D41D.sts,,0,585,0
0,dotlessi.mrmb.sts,,0,218,0
0,dotlessj.mrmb.sts,,0,238,0
0,u1D404.sts,,0,467,0
0,u1D41E.sts,,0,358,0
0,u1D7D6.sts,,0,393,0
0,u1D405.sts,,0,457,0
0,u1D41F.sts,,0,404,115
0,u1D7D3.sts,,0,376,0
0,u1D7D2.sts,,0,494,0
0,u1D406.sts,,0,738,0
0,u1D420.sts,,0,481,0
0,u1D407.sts,,0,577,0
0,u1D421.sts,,0,196,0
0,u1D408.sts,,0,275,0
0,u1D409.sts,,0,477,0
0,u1D40A.sts,,0,574,0
0,u1D424.sts,,0,183,0
0,u1D40B.sts,,0,289,0
0,u1D425.sts,,0,200,0
0,u1D40C.sts,,0,697,0
0,u1D426.sts,,0,556,0
0,u1D40D.sts,,0,577,0
0,u1D427.sts,,0,354,0
0,u1D7D7.sts,,0,349,0
0,u1D40E.sts,,0,561,0
0,u1D428.sts,,0,378,0
0,u1D7CF.sts,,0,392,0
0,u1D40F.sts,,0,398,0
0,u1D429.sts,,0,339,0
0,u1D410.sts,,0,561,0
0,u1D42A.sts,,0,472,0
0,u1D411.sts,,0,378,7
0,u1D42B.sts,,0,290,0
0,u1D412.sts,,0,484,0
0,u1D42C.sts,,0,338,0
0,u1D7D5.sts,,0,185,0
0,u1D7D4.sts,,0,465,0
0,u1D413.sts,,0,521,0
0,u1D42D.sts,,0,244,0
0,u1D7D1.sts,,0,375,0
0,u1D7D0.sts,,0,354,0
0,u1D414.sts,,0,567,0
0,u1D42E.sts,,0,401,0
0,u1D415.sts,,0,557,0
0,u1D42F.sts,,0,400,0
0,u1D416.sts,,0,759,0
0,u1D430.sts,,0,541,0
0,u1D417.sts,,0,537,0
0,u1D431.sts,,0,392,0
0,u1D418.sts,,0,557,0
0,u1D432.sts,,0,402,0
0,u1D419.sts,,0,475,0
0,u1D433.sts,,0,343,0
0,u1D7CE.sts,,0,379,0
0,u1D422.sts,,0,218,0
0,u1D423.sts,,0,268,0
0,u1D400.st,,0,484,0
0,u1D41A.st,,0,264,18
0,u1D401.st,,0,340,0
0,u1D41B.st,,0,149,0
0,u1D402.st,,0,644,0
0,u1D41C.st,,0,357,0
0,u1D403.st,,0,324,0
0,u1D41D.st,,0,502,0
0,dotlessi.mrmb.st,,0,182,0
0,dotlessj.mrmb.st,,0,200,0
0,u1D404.st,,0,396,0
0,u1D41E.st,,0,309,0
0,u1D7D6.st,,0,331,0
0,u1D405.st,,0,387,0
0,u1D41F.st,,0,347,120
0,u1D7D3.st,,0,323,0
0,u1D7D2.st,,0,451,0
0,u1D406.st,,0,644,0
0,u1D420.st,,0,419,5
0,u1D407.st,,0,501,0
0,u1D421.st,,0,158,0
0,u1D408.st,,0,240,0
0,u1D409.st,,0,399,0
0,u1D40A.st,,0,492,0
0,u1D424.st,,0,149,0
0,u1D40B.st,,0,253,0
0,u1D425.st,,0,161,0
0,u1D40C.st,,0,607,0
0,u1D426.st,,0,468,0
0,u1D40D.st,,0,501,0
0,u1D427.st,,0,291,0
0,u1D7D7.st,,0,310,0
0,u1D40E.st,,0,483,0
0,u1D428.st,,0,323,0
0,u1D7CF.st,,0,332,0
0,u1D40F.st,,0,334,0
0,u1D429.st,,0,280,0
0,u1D410.st,,0,483,0
0,u1D42A.st,,0,411,8
0,u1D411.st,,0,317,19
0,u1D42B.st,,0,242,0
0,u1D412.st,,0,417,0
0,u1D42C.st,,0,287,0
0,u1D7D5.st,,0,146,5
0,u1D7D4.st,,0,374,0
0,u1D413.st,,0,448,0
0,u1D42D.st,,0,214,0
0,u1D7D1.st,,0,319,0
0,u1D7D0.st,,0,295,0
0,u1D414.st,,0,492,0
0,u1D42E.st,,0,338,0
0,u1D415.st,,0,484,0
0,u1D42F.st,,0,341,0
0,u1D416.st,,0,661,0
0,u1D430.st,,0,465,0
0,u1D417.st,,0,465,0
0,u1D431.st,,0,334,0
0,u1D418.st,,0,484,0
0,u1D432.st,,0,341,0
0,u1D419.st,,0,408,0
0,u1D433.st,,0,291,0
0,u1D7CE.st,,0,323,0
0,u1D422.st,,0,182,0
0,u1D423.st,,0,222,0
x1D468,,bm{A},0,608,0
x1D469,,bm{B},0,477,16
x1D46A,,bm{C},0,658,66
x1D46B,,bm{D},0,465,5
x1D46C,,bm{E},0,515,43
