nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
x2031,permyriad,,0,0,0
0,perthousandzero,,0,0,0
x221D,proportional,propto,3,0,0
x2117,published,,0,0,28
x211E,recipe,,0,0,24
x203B,referencemark,,0,0,0
xAE,registered,,0,0,28
x15E,Scedilla,,0,0,0
x15F,scedilla,,0,0,0
x2120,servicemark,,0,0,0
xDE,Thorn,,0,0,0
xFE,thorn,,0,0,0
0,threequartersemdash,,0,0,27
0,asciitilde.low,,0,0,27
x2122,trademark,,0,0,0
0,emdash.alt,,0,0,27
x1AF,Uhorn,,0,0,4
x1B0,uhorn,,0,0,43
x172,Uogonek,,0,0,0
x173,uogonek,,0,0,27
x20AC,Euro,euro,0,0,0
x2423,,mathvisiblespace,0,0,0
0,space_uni0331,,0,251,0
xC1,Aacute,,0,0,0
xE1,aacute,,0,0,11
x102,Abreve,,0,0,0
x103,abreve,,0,0,11
x1EAE,Abreveacute,,0,0,0
x1EAF,abreveacute,,0,0,11
x1EB6,Abrevedotbelow,,0,0,0
x1EB7,abrevedotbelow,,0,0,11
x1EB0,Abrevegrave,,0,0,0
x1EB1,abrevegrave,,0,0,11
x1EB2,Abrevehookabove,,0,0,0
x1EB3,abrevehookabove,,0,0,11
x1EB4,Abrevetilde,,0,0,0
x1EB5,abrevetilde,,0,0,11
xC2,Acircumflex,,0,0,0
xE2,acircumflex,,0,0,11
x1EA4,Acircumflexacute,,0,0,0
x1EA5,acircumflexacute,,0,0,11
x1EAC,Acircumflexdotbelow,,0,0,0
x1EAD,acircumflexdotbelow,,0,0,11
x1EA6,Acircumflexgrave,,0,0,0
x1EA7,acircumflexgrave,,0,0,11
x1EA8,Acircumflexhookabove,,0,0,0
x1EA9,acircumflexhookabove,,0,0,11
x1EAA,Acircumflextilde,,0,0,0
x1EAB,acircumflextilde,,0,0,11
xC4,Adieresis,,0,0,0
xE4,adieresis,,0,0,11
x1EA0,Adotbelow,,0,0,0
x1EA1,adotbelow,,0,0,11
xC0,Agrave,,0,0,0
xE0,agrave,,0,0,11
x1EA2,Ahookabove,,0,0,0
x1EA3,ahookabove,,0,0,11
x100,Amacron,,0,0,0
x101,amacron,,0,0,11
xC5,Aring,,0,0,0
xE5,aring,,0,0,11
xC3,Atilde,,0,0,0
xE3,atilde,,0,0,11
x106,Cacute,,0,0,0
x107,cacute,,0,0,0
x10C,Ccaron,,0,0,0
x10D,ccaron,,0,0,0
x10E,Dcaron,,0,0,0
x10F,dcaron,,0,0,46
xC9,Eacute,,0,0,0
xE9,eacute,,0,0,0
x11A,Ecaron,,0,0,0
x11B,ecaron,,0,0,0
xCA,Ecircumflex,,0,0,0
xEA,ecircumflex,,0,0,0
x1EBE,Ecircumflexacute,,0,0,0
x1EBF,ecircumflexacute,,0,0,0
x1EC6,Ecircumflexdotbelow,,0,0,0
x1EC7,ecircumflexdotbelow,,0,0,0
x1EC0,Ecircumflexgrave,,0,0,0
x1EC1,ecircumflexgrave,,0,0,0
x1EC2,Ecircumflexhookabove,,0,0,0
x1EC3,ecircumflexhookabove,,0,0,0
x1EC4,Ecircumflextilde,,0,0,0
x1EC5,ecircumflextilde,,0,0,0
xCB,Edieresis,,0,0,0
xEB,edieresis,,0,0,0
x116,Edotaccent,,0,0,0
x117,edotaccent,,0,0,0
x1EB8,Edotbelow,,0,0,0
x1EB9,edotbelow,,0,0,0
xC8,Egrave,,0,0,0
xE8,egrave,,0,0,0
x1EBA,Ehookabove,,0,0,0
x1EBB,ehookabove,,0,0,0
x112,Emacron,,0,0,0
x113,emacron,,0,0,0
x1EBC,Etilde,,0,0,0
x1EBD,etilde,,0,0,0
x11E,Gbreve,,0,0,0
x11F,gbreve,,0,0,13
x122,Gcommaaccent,,0,0,0
x123,gcommaaccent,,0,0,13
xCD,Iacute,,0,0,0
xED,iacute,,0,0,13
xCE,Icircumflex,,0,0,0
xEE,icircumflex,,0,0,41
xCF,Idieresis,,0,0,0
xEF,idieresis,,0,0,27
x130,Idotaccent,,0,0,0
x1ECA,Idotbelow,,0,0,0
x1ECB,idotbelow,,0,0,0
xCC,Igrave,,0,0,0
xEC,igrave,,0,0,0
x1EC8,Ihookabove,,0,0,0
x1EC9,ihookabove,,0,0,0
x12A,Imacron,,0,0,29
x12B,imacron,,0,0,70
x128,Itilde,,0,0,15
x129,itilde,,0,0,56
x136,Kcommaaccent,,0,0,0
x137,kcommaaccent,,0,0,11
x139,Lacute,,0,0,0
x13A,lacute,,0,0,26
x13D,Lcaron,,0,0,0
x13E,lcaron,,0,0,52
x13B,Lcommaaccent,,0,0,0
x13C,lcommaaccent,,0,0,5
x143,Nacute,,0,0,0
x144,nacute,,0,0,7
x147,Ncaron,,0,0,0
x148,ncaron,,0,0,7
x145,Ncommaaccent,,0,0,0
x146,ncommaaccent,,0,0,7
xD1,Ntilde,,0,0,0
xF1,ntilde,,0,0,7
xD3,Oacute,,0,0,0
xF3,oacute,,0,0,0
